Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
956,04-12-2019,ADM,3037,342001,RJ,DEALER,SC,0.588235294,-0.078846774,0.080684368,-1.726063812,79000,66299,M,UG,SEP,O,0.510204082,,0.408960927,-0.982943039,0
957,09-12-2019,ADM,3037,306307,RJ,ASC,MC,0.450980392,0.238679819,0.130142109,-1.726063812,68300,58000,M,OTHERS,SEP,O,0.387755102,,-0.343414608,-0.351618065,0
958,12/30/2019,ADM,3037,331803,RJ,DEALER,MC,0.352941176,0.377597703,0.147812266,0.402660753,68106,61250,M,HSC,SEP,O,0.06122449,,-0.544048083,0.595369396,0
959,12/17/2019,ADM,3037,331507,RJ,ASC,MC,0.68627451,-0.952044904,0.162864622,1.339299561,110659,94000,M,OTHERS,SEP,O,0.081632653,,0.25848582,-0.918522124,0
960,12/27/2019,ADM,3037,334305,RJ,ASC,MC,0.352941176,-0.26936273,0.118455497,-1.726063812,67973,56765,M,HSC,SEP,O,0.428571429,,-0.443731345,-1.002269314,0
961,03-12-2019,ADM,3037,341025,RJ,ASC,MC,0.450980392,-0.178073834,0.106114435,0.062064822,63200,53999,M,SSC,SEP,O,0.06122449,,-0.092622763,0.183075536,0
962,12/17/2019,ADM,3037,343022,RJ,ASC,SC,0.352941176,0.318061467,0.163051608,0.487809735,76580,64499,M,HSC,SEP,O,0.428571429,,0.158169082,0.582485213,0
963,1/18/2020,ADM,3021,500074,AP,DEALER,SC,0.431372549,-0.753590784,0.184835453,-0.132074858,85000,72000,F,OTHERS,SAL,R,0.183673469,-0.167981966,-0.594206452,-1.095679642,0
964,02-01-2020,ACH,3021,500038,AP,DEALER,SC,0.352941176,-0.920292245,0.168474196,-0.150807634,82000,69000,F,UG,SAL,R,0.163265306,,-0.293256239,-1.295384481,0
965,1/16/2020,ADM,3021,501401,AP,DEALER,MC,0.588235294,1.191259598,0.198578908,-1.726063812,110000,93000,M,OTHERS,SEP,R,0.163265306,,2.164503839,0.402106649,0
